timestamp,AF8,AF7,CHEEK_R,CHEEK_L,EAR_R,AFz,BROW_L,NOSE,marker
0.0000,7462.7548828125,10745.4208984375,-38594.3046875,-68409.828125,-286586.875,-303641.4375,-288912.40625,-290081.9375,0
0.0000,9771.9580078125,10953.3818359375,-38167.25390625,-69047.1640625,-286593.0,-303648.0625,-288918.0,-290087.25,0
0.0000,10467.3203125,10818.2431640625,-37887.58984375,-69588.0390625,-286600.25,-303656.0,-288925.59375,-290094.59375,0
0.0001,8449.673828125,10599.1513671875,-38337.4375,-68935.765625,-286595.5,-303650.90625,-288921.65625,-290090.90625,0
0.0001,7270.93212890625,10722.845703125,-38617.73046875,-68430.84375,-286593.125,-303647.65625,-288918.65625,-290088.09375,0
0.0001,9338.87109375,10951.4150390625,-38278.921875,-68915.609375,-286600.84375,-303655.65625,-288925.8125,-290095.15625,0
0.0001,10574.7431640625,10879.3076171875,-37883.56640625,-69621.25,-286605.96875,-303661.875,-288931.125,-290100.625,0
0.0001,8864.7451171875,10627.26953125,-38269.9375,-69091.875,-286604.53125,-303659.90625,-288930.46875,-290099.9375,0
0.0001,7189.83984375,10690.3466796875,-38618.8046875,-68468.5703125,-286591.21875,-303645.46875,-288916.78125,-290086.3125,0
0.0001,8899.9716796875,10912.5224609375,-38370.20703125,-68755.2109375,-286579.0625,-303633.625,-288903.90625,-290073.34375,0
0.0296,10592.580078125,10924.01171875,-37904.93359375,-69584.4140625,-286599.1875,-303654.90625,-288924.15625,-290093.375,0
0.0297,9270.2958984375,10657.0419921875,-38194.25390625,-69222.71875,-286600.125,-303655.75,-288926.21875,-290095.375,0
0.0297,7270.4853515625,10671.9736328125,-38614.95703125,-68519.890625,-286593.625,-303648.21875,-288919.40625,-290088.875,0
0.0297,8437.1123046875,10904.2529296875,-38484.78125,-68638.0390625,-286595.6875,-303650.25,-288920.8125,-290090.375,0
0.0297,10494.8134765625,10970.81640625,-37962.9140625,-69506.9453125,-286606.1875,-303661.5625,-288931.25,-290100.25,0
0.0297,9595.2001953125,10708.00390625,-38125.41015625,-69347.21875,-286603.96875,-303659.53125,-288929.875,-290098.84375,0
0.0297,7246.703125,10638.892578125,-38564.30859375,-68566.2890625,-286574.0625,-303628.46875,-288899.9375,-290069.25,0
0.0297,7953.01806640625,10857.8505859375,-38547.90234375,-68500.9375,-286572.4375,-303626.71875,-288897.6875,-290067.0,0
