timestamp,AF8,AF7,CHEEK_R,CHEEK_L,EAR_R,AFz,BROW_L,NOSE,marker
0.0000,9067.1181640625,14396.130859375,-50017.4765625,-139849.078125,-289752.75,-305326.53125,-292585.0625,-293280.8125,0
0.0001,9181.7822265625,14498.7705078125,-49991.59375,-139849.75,-289748.3125,-305322.0625,-292580.1875,-293276.09375,0
0.0001,9334.2216796875,14628.947265625,-49970.26953125,-139868.53125,-289750.375,-305324.3125,-292581.96875,-293277.75,0
0.0001,9294.033203125,14592.021484375,-49988.77734375,-139870.140625,-289754.40625,-305328.40625,-292586.125,-293282.0625,0
0.0001,9169.220703125,14393.806640625,-50016.0,-139832.9375,-289745.0625,-305318.84375,-292577.09375,-293272.96875,0
0.0001,9230.9560546875,14516.2490234375,-50015.5546875,-139841.125,-289754.03125,-305327.875,-292586.1875,-293281.9375,0
0.0001,9344.1005859375,14670.2080078125,-49976.796875,-139854.578125,-289748.59375,-305322.59375,-292580.59375,-293276.40625,0
0.0001,9340.837890625,14663.994140625,-49979.56640625,-139858.46875,-289746.375,-305320.375,-292578.34375,-293274.03125,0
0.0001,9131.625,14375.43359375,-49999.4609375,-139813.140625,-289729.1875,-305302.84375,-292561.375,-293257.21875,0
0.0001,9129.61328125,14359.294921875,-50016.046875,-139815.953125,-289747.5,-305321.25,-292580.0625,-293275.875,0
0.0551,9262.9189453125,14533.68359375,-50004.9609375,-139842.734375,-289763.25,-305337.21875,-292595.4375,-293291.375,0
0.0551,9222.462890625,14577.0458984375,-50000.62109375,-139846.84375,-289763.0625,-305337.0,-292595.21875,-293291.1875,0
0.0551,9068.6376953125,14387.4140625,-50026.19140625,-139816.453125,-289757.46875,-305331.3125,-292590.0625,-293285.84375,0
0.0551,9143.5615234375,14390.6328125,-50040.72265625,-139800.578125,-289758.9375,-305332.75,-292591.5,-293287.3125,0
0.0551,9275.7490234375,14582.8125,-50008.40234375,-139806.484375,-289753.125,-305327.0625,-292585.40625,-293281.28125,0
0.0551,9248.748046875,14656.931640625,-49984.75390625,-139801.25,-289739.46875,-305313.15625,-292571.5,-293267.375,0
0.0551,9161.576171875,14444.2763671875,-50014.66015625,-139782.609375,-289739.25,-305312.78125,-292571.5,-293267.59375,0
0.0551,9078.7861328125,14338.150390625,-50039.06640625,-139774.03125,-289753.0625,-305326.625,-292585.5,-293281.625,0
0.0551,9180.44140625,14518.931640625,-50025.07421875,-139793.203125,-289764.375,-305338.03125,-292596.78125,-293292.65625,0
0.0551,9300.068359375,14619.291015625,-50014.390625,-139800.21875,-289763.34375,-305337.03125,-292595.53125,-293291.34375,0
0.0890,9115.8896484375,14475.0322265625,-50013.05078125,-139769.78125,-289745.375,-305319.28125,-292577.90625,-293273.75,0
0.0890,9050.17578125,14336.5859375,-50036.20703125,-139744.515625,-289743.9375,-305317.6875,-292576.375,-293272.1875,0
0.0890,9227.7822265625,14492.958984375,-50019.35546875,-139747.609375,-289742.0,-305315.40625,-292574.1875,-293269.875,0
0.0890,9328.0078125,14593.0048828125,-49987.12109375,-139744.78125,-289727.78125,-305301.0,-292559.4375,-293255.25,0
0.0891,9371.3701171875,14522.8203125,-50016.5390625,-139746.390625,-289736.28125,-305309.6875,-292568.0625,-293263.84375,0
0.0891,9157.5537109375,14390.3193359375,-50048.6328125,-139732.234375,-289747.0625,-305320.375,-292579.21875,-293274.875,0
0.0891,8998.185546875,14548.3466796875,-50029.546875,-139741.25,-289755.875,-305329.5,-292588.3125,-293284.09375,0
0.0891,9165.287109375,14649.3759765625,-50011.9765625,-139749.21875,-289754.625,-305328.0625,-292586.9375,-293282.875,0
0.0891,9141.37109375,14617.5029296875,-50019.578125,-139741.484375,-289750.59375,-305324.0,-292583.0,-293278.8125,0
0.0891,8988.126953125,14461.9345703125,-50043.76171875,-139711.078125,-289746.25,-305319.59375,-292578.5625,-293274.375,0
0.1192,9066.89453125,14526.7998046875,-50030.9765625,-139697.3125,-289739.09375,-305312.375,-292571.4375,-293267.25,0
0.1192,9207.62109375,14711.0224609375,-50024.046875,-139719.578125,-289752.75,-305326.21875,-292585.25,-293280.96875,0
0.1192,9178.921875,14645.1298828125,-50019.62109375,-139722.125,-289752.75,-305326.3125,-292585.25,-293281.09375,0
0.1193,9036.853515625,14372.4384765625,-50039.60546875,-139695.25,-289747.71875,-305321.09375,-292580.15625,-293276.09375,0
0.1193,9082.0048828125,14376.3271484375,-50047.25,-139686.671875,-289751.75,-305324.96875,-292584.25,-293279.96875,0
0.1193,9168.4609375,14564.126953125,-50019.84375,-139688.375,-289746.84375,-305320.3125,-292579.6875,-293275.0625,0
