timestamp,AF8,AF7,CHEEK_R,CHEEK_L,EAR_R,AFz,BROW_L,NOSE,marker
0.0000,7434.45751953125,10518.4169921875,-48201.12890625,-79957.8125,-290827.53125,-305869.875,-293868.4375,-294406.15625,0
0.0000,7563.1142578125,10677.8291015625,-48176.98828125,-79976.546875,-290829.78125,-305872.0,-293870.15625,-294407.96875,0
0.0000,7651.93994140625,10813.146484375,-48156.06640625,-79996.8359375,-290830.625,-305872.8125,-293870.71875,-294408.5,0
0.0000,7514.83447265625,10638.3564453125,-48181.50390625,-79985.3046875,-290834.4375,-305876.75,-293874.96875,-294412.9375,0
0.0000,7438.70458984375,10510.0576171875,-48211.3203125,-79960.4921875,-290833.8125,-305876.15625,-293874.53125,-294412.53125,0
0.0000,7532.7158203125,10695.0400390625,-48176.00390625,-79959.2890625,-290820.9375,-305863.34375,-293861.34375,-294399.4375,0
0.0000,7683.09814453125,10869.919921875,-48149.2734375,-79978.0625,-290815.125,-305857.25,-293855.3125,-294393.125,0
0.0000,7574.2451171875,10765.4033203125,-48169.8359375,-79972.703125,-290820.53125,-305862.625,-293861.34375,-294398.84375,0
0.0000,7420.599609375,10604.6494140625,-48221.06640625,-79966.125,-290841.1875,-305883.4375,-293882.3125,-294419.90625,0
0.0000,7553.4580078125,10698.4375,-48207.1640625,-79967.6953125,-290838.28125,-305880.625,-293879.0,-294416.75,0
0.0288,7785.7373046875,10910.466796875,-48168.76171875,-79981.640625,-290827.28125,-305869.6875,-293867.5625,-294405.34375,0
0.0288,7581.4873046875,10872.69140625,-48164.25,-79975.3359375,-290824.1875,-305866.40625,-293864.96875,-294402.625,0
0.0288,7377.9521484375,10658.6513671875,-48190.22265625,-79941.3203125,-290818.1875,-305860.25,-293859.0625,-294396.75,0
0.0288,7386.53564453125,10708.3623046875,-48182.578125,-79939.21875,-290817.3125,-305859.21875,-293857.84375,-294395.59375,0
0.0288,7693.91650390625,10948.4638671875,-48160.26953125,-79965.9453125,-290818.375,-305860.15625,-293858.5625,-294396.1875,0
0.0288,7605.93994140625,10984.361328125,-48169.1640625,-79979.3125,-290829.875,-305871.875,-293870.375,-294407.875,0
0.0288,7485.77734375,10793.9248046875,-48209.93359375,-79954.4609375,-290832.6875,-305874.6875,-293873.40625,-294411.15625,0
0.0288,7467.8955078125,10910.8681640625,-48219.81640625,-79946.234375,-290833.65625,-305875.59375,-293874.5,-294412.125,0
0.0288,7649.34716796875,11150.4345703125,-48186.421875,-79967.6484375,-290830.59375,-305872.6875,-293870.96875,-294408.6875,0
0.0288,7632.40478515625,11196.166015625,-48178.6875,-79981.0625,-290834.4375,-305876.65625,-293875.125,-294412.75,0
0.0879,7502.7197265625,11021.46484375,-48208.953125,-79949.8125,-290828.21875,-305870.03125,-293869.25,-294406.71875,0
0.0879,7501.5576171875,10999.6943359375,-48225.22265625,-79932.78125,-290827.09375,-305869.0,-293868.1875,-294405.65625,0
0.0879,7604.46484375,11270.6865234375,-48195.09375,-79960.2734375,-290832.90625,-305875.0625,-293873.8125,-294411.375,0
0.0879,7655.0693359375,11353.03125,-48185.88671875,-79976.5859375,-290833.96875,-305876.03125,-293874.625,-294412.1875,0
0.0879,7530.25732421875,11126.7421875,-48219.3671875,-79957.453125,-290836.5625,-305878.34375,-293877.40625,-294415.0,0
0.0879,7460.47509765625,11041.58203125,-48229.55859375,-79928.6640625,-290828.65625,-305870.5625,-293869.46875,-294407.3125,0
0.0879,7591.99267578125,11296.2578125,-48204.75,-79945.65625,-290827.6875,-305869.5625,-293868.21875,-294406.0625,0
0.0880,7684.57373046875,11402.115234375,-48181.86328125,-79968.1875,-290829.5625,-305871.53125,-293870.0625,-294407.65625,0
0.0880,7556.18505859375,11229.828125,-48189.05859375,-79935.953125,-290812.34375,-305854.125,-293853.03125,-294390.59375,0
0.0880,7472.81298828125,11080.1611328125,-48213.5546875,-79904.6640625,-290805.9375,-305847.46875,-293846.625,-294384.375,0
0.1177,7575.40771484375,11235.5947265625,-48212.75,-79938.4140625,-290828.9375,-305870.53125,-293869.40625,-294407.1875,0
0.1177,7705.4052734375,11409.4912109375,-48195.98828125,-79974.484375,-290840.90625,-305882.5,-293881.25,-294418.8125,0
